customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,total_charges_num,tenure_group
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,"Mailed check",49.95,587.45,No,587.45,Loyal
7469-LKBCI,Male,0,No,No,16,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",18.95,326.8,No,326.80,Loyal
8091-TTVAX,Male,0,Yes,No,58,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,"One year",No,"Credit card (automatic)",100.35,5681.1,No,5681.10,Long-Term
0280-XJGEX,Male,0,No,No,49,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",103.70,5036.3,Yes,5036.30,Long-Term
5129-JLPIS,Male,0,No,No,25,Yes,No,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",105.50,2686.05,No,2686.05,Loyal
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Credit card (automatic)",113.25,7895.15,No,7895.15,Long-Term
8191-XWSZG,Female,0,No,No,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.65,1022.95,No,1022.95,Long-Term
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,"Fiber optic",Yes,No,Yes,No,Yes,Yes,"Two year",No,"Bank transfer (automatic)",106.70,7382.25,No,7382.25,Long-Term
4190-MFLUW,Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,"Credit card (automatic)",55.20,528.35,Yes,528.35,New
4183-MYFRB,Female,0,No,No,21,Yes,No,"Fiber optic",No,Yes,Yes,No,No,Yes,Month-to-month,Yes,"Electronic check",90.05,1862.9,No,1862.90,Loyal
8779-QRDMV,Male,1,No,No,1,No,"No phone service",DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,"Electronic check",39.65,39.65,Yes,39.65,New
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer (automatic)",19.80,202.25,No,202.25,New
1066-JKSGK,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.15,20.15,Yes,20.15,New
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,"Two year",Yes,"Credit card (automatic)",59.90,3505.1,No,3505.10,Long-Term
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,"Credit card (automatic)",59.60,2970.3,No,2970.30,Long-Term
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",55.30,1530.6,No,1530.60,Loyal
6467-CHFZW,Male,0,Yes,Yes,47,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",99.35,4749.15,Yes,4749.15,Loyal
8665-UTDHZ,Male,0,Yes,Yes,1,No,"No phone service",DSL,No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",30.20,30.2,Yes,30.20,New
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",90.25,6369.45,No,6369.45,Long-Term
8773-HHUOZ,Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,"Mailed check",64.70,1093.1,Yes,1093.10,Loyal
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",96.35,6766.95,No,6766.95,Long-Term
4929-XIHVW,Male,1,Yes,No,2,Yes,No,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",95.50,181.65,No,181.65,New
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,"One year",No,"Mailed check",66.15,1874.45,No,1874.45,Loyal
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Bank transfer (automatic)",20.20,20.2,No,20.20,New
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",45.25,45.25,No,45.25,New
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,No,"Two year",No,"Bank transfer (automatic)",99.90,7251.7,No,7251.70,Long-Term
6047-YHPVI,Male,0,No,No,5,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",69.70,316.9,Yes,316.90,New
6572-ADKRS,Female,0,No,No,46,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Credit card (automatic)",74.80,3548.3,No,3548.30,Loyal
5380-WJKOV,Male,0,No,No,34,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",106.35,3549.25,Yes,3549.25,Loyal
8168-UQWWF,Female,0,No,No,11,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",97.85,1105.4,Yes,1105.40,New
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,"One year",No,"Mailed check",49.55,475.7,No,475.70,New
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,"Two year",Yes,"Credit card (automatic)",69.20,4872.35,No,4872.35,Long-Term
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.75,418.25,No,418.25,Loyal
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",79.85,4861.45,No,4861.45,Long-Term
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,"Electronic check",76.20,981.45,No,981.45,Loyal
3714-NTNFO,Female,0,No,No,49,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",84.50,3906.7,No,3906.70,Long-Term
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,"Mailed check",49.25,97,No,97.00,New
7760-OYPDY,Female,0,No,No,2,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",80.65,144.15,Yes,144.15,New
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",79.75,4217.8,No,4217.80,Long-Term
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",64.15,4254.1,No,4254.10,Long-Term
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",90.25,3838.75,No,3838.75,Loyal
9420-LOJKX,Female,0,No,No,15,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.10,1426.4,Yes,1426.40,Loyal
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,"Credit card (automatic)",69.50,1752.65,No,1752.65,Loyal
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",80.65,633.3,Yes,633.30,New
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",74.85,4456.35,No,4456.35,Long-Term
1658-BYGOY,Male,1,No,No,18,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",95.45,1752.55,Yes,1752.55,Loyal
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",99.65,6311.2,No,6311.20,Long-Term
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Electronic check",108.45,7076.35,No,7076.35,Long-Term
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",24.95,894.3,No,894.30,Loyal
5954-BDFSG,Female,0,No,No,72,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",107.50,7853.7,No,7853.70,Long-Term
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.50,4707.1,No,4707.10,Loyal
1215-FIGMP,Male,0,No,No,60,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",89.90,5450.7,No,5450.70,Long-Term
0526-SXDJP,Male,0,Yes,No,72,No,"No phone service",DSL,Yes,Yes,Yes,No,No,No,"Two year",No,"Bank transfer (automatic)",42.10,2962,No,2962.00,Long-Term
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,"One year",Yes,"Credit card (automatic)",54.40,957.1,No,957.10,Loyal
5698-BQJOH,Female,0,No,No,9,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",94.40,857.25,Yes,857.25,New
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",75.30,244.1,No,244.10,New
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,"Fiber optic",No,Yes,No,No,No,No,"One year",Yes,"Electronic check",78.90,3650.35,No,3650.35,Loyal
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Mailed check",79.20,2497.2,No,2497.20,Loyal
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.15,930.9,No,930.90,Long-Term
7410-OIEDU,Male,0,No,No,10,Yes,No,"Fiber optic",Yes,No,Yes,No,No,No,Month-to-month,Yes,"Mailed check",79.85,887.35,No,887.35,New
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,"Mailed check",49.05,49.05,No,49.05,New
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Electronic check",20.40,1090.65,No,1090.65,Long-Term
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",111.60,7099,No,7099.00,Long-Term
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",24.25,1424.6,No,1424.60,Long-Term
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",64.50,177.4,No,177.40,New
2673-CXQEU,Female,1,No,No,56,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,"One year",No,"Electronic check",110.50,6139.5,No,6139.50,Long-Term
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,"One year",No,"Credit card (automatic)",55.65,2688.85,No,2688.85,Loyal
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,"Mailed check",54.65,482.25,No,482.25,New
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",74.75,2111.3,No,2111.30,Loyal
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Credit card (automatic)",25.90,1216.6,No,1216.60,Loyal
5919-TMRGD,Female,0,No,Yes,1,Yes,No,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Electronic check",79.35,79.35,Yes,79.35,New
8108-UXRQN,Female,0,Yes,Yes,11,No,"No phone service",DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,"Electronic check",50.55,565.35,No,565.35,New
9191-MYQKX,Female,0,Yes,No,7,Yes,No,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.15,496.9,Yes,496.90,New
9919-YLNNG,Female,0,No,No,42,Yes,No,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",103.80,4327.5,No,4327.50,Loyal
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",20.15,973.35,No,973.35,Long-Term
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",99.30,918.75,No,918.75,New
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,"One year",Yes,"Bank transfer (automatic)",62.15,2215.45,No,2215.45,Loyal
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",20.65,1057,No,1057.00,Loyal
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Mailed check",19.95,927.1,No,927.10,Loyal
3016-KSVCP,Male,0,Yes,No,29,No,"No phone service",DSL,No,No,No,No,Yes,No,Month-to-month,No,"Mailed check",33.75,1009.25,No,1009.25,Loyal
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",82.05,2570.2,No,2570.20,Loyal
2424-WVHPL,Male,1,No,No,1,Yes,No,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,No,"Electronic check",74.70,74.7,No,74.70,New
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Mailed check",84.00,5714.25,No,5714.25,Long-Term
6067-NGCEU,Female,0,No,No,65,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",111.05,7107,No,7107.00,Long-Term
9848-JQJTX,Male,0,No,No,72,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",100.90,7459.05,No,7459.05,Long-Term
8637-XJIVR,Female,0,No,No,12,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",78.95,927.35,Yes,927.35,New
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,"One year",Yes,"Credit card (automatic)",66.85,4748.7,No,4748.70,Long-Term
0278-YXOOG,Male,0,No,No,5,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",21.05,113.85,Yes,113.85,New
3212-KXOCR,Male,0,No,No,52,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",21.00,1107.2,No,1107.20,Long-Term
4598-XLKNJ,Female,1,Yes,No,25,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",98.50,2514.5,Yes,2514.50,Loyal
6380-ARCEH,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.20,20.2,No,20.20,New
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.45,19.45,No,19.45,New
7123-WQUHX,Male,0,No,No,38,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,No,"One year",No,"Bank transfer (automatic)",95.00,3605.6,No,3605.60,Loyal
5386-THSLQ,Female,1,Yes,No,66,No,"No phone service",DSL,No,Yes,Yes,No,Yes,No,"One year",No,"Bank transfer (automatic)",45.55,3027.25,No,3027.25,Long-Term
3192-NQECA,Male,0,Yes,No,68,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",110.00,7611.85,Yes,7611.85,Long-Term
6180-YBIQI,Male,0,No,No,5,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,No,"Mailed check",24.30,100.2,No,100.20,New
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",104.15,7303.05,No,7303.05,Long-Term
9750-BOOHV,Female,0,No,No,32,No,"No phone service",DSL,Yes,No,No,No,No,No,"One year",No,"Mailed check",30.15,927.65,No,927.65,Loyal
8597-CWYHH,Male,0,No,No,43,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,"One year",No,"Mailed check",94.35,3921.3,No,3921.30,Loyal
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",19.40,1363.25,No,1363.25,Long-Term
0486-HECZI,Male,0,Yes,No,55,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",96.75,5238.9,Yes,5238.90,Long-Term
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,"One year",No,"Credit card (automatic)",57.95,3042.25,No,3042.25,Long-Term
5712-AHQNN,Female,0,No,No,43,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",91.65,3954.1,No,3954.10,Loyal
4846-WHAFZ,Female,1,Yes,No,37,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",76.50,2868.15,Yes,2868.15,Loyal
5256-SKJGO,Female,0,Yes,Yes,64,No,"No phone service",DSL,No,Yes,No,Yes,Yes,Yes,"Two year",Yes,"Electronic check",54.60,3423.5,No,3423.50,Long-Term
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",89.85,248.4,No,248.40,New
9560-BBZXK,Female,0,No,No,36,No,"No phone service",DSL,Yes,No,No,No,No,No,"Two year",No,"Bank transfer (automatic)",31.05,1126.35,No,1126.35,Loyal
5299-RULOA,Female,0,Yes,Yes,10,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100.25,1064.65,Yes,1064.65,New
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.65,835.15,No,835.15,Loyal
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,"Fiber optic",No,Yes,No,Yes,No,No,Month-to-month,Yes,"Credit card (automatic)",85.20,2151.6,No,2151.60,Loyal
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",99.80,5515.45,No,5515.45,Long-Term
2928-HLDBA,Female,0,No,No,6,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.70,112.75,No,112.75,New
0404-SWRVG,Male,0,No,No,3,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.40,229.55,Yes,229.55,New
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,"Mailed check",50.70,350.35,No,350.35,New
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.85,62.9,No,62.90,New
4622-YNKIJ,Male,0,No,No,33,Yes,No,"Fiber optic",Yes,No,No,Yes,Yes,No,"Two year",Yes,"Electronic check",88.95,3027.65,No,3027.65,Loyal
4412-YLTKF,Female,1,No,No,27,Yes,Yes,"Fiber optic",No,No,Yes,No,No,No,Month-to-month,Yes,"Electronic check",78.05,2135.5,Yes,2135.50,Loyal
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Bank transfer (automatic)",23.55,1723.95,No,1723.95,Long-Term
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.75,19.75,No,19.75,New
2639-UGMAZ,Male,1,No,No,71,No,"No phone service",DSL,Yes,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",56.45,3985.35,No,3985.35,Long-Term
2876-GZYZC,Female,0,No,No,13,Yes,Yes,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",85.95,1215.65,No,1215.65,Loyal
6207-WIOLX,Female,0,Yes,Yes,25,No,"No phone service",DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Credit card (automatic)",58.60,1502.65,Yes,1502.65,Loyal
8587-XYZSF,Male,0,No,No,67,Yes,No,DSL,No,No,No,Yes,No,No,"Two year",No,"Bank transfer (automatic)",50.55,3260.1,No,3260.10,Long-Term
3091-FYHKI,Male,0,No,No,1,No,"No phone service",DSL,No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",35.45,35.45,Yes,35.45,New
2372-HWUHI,Male,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Electronic check",44.35,81.25,Yes,81.25,New
7799-LGRDP,Female,0,No,No,43,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Credit card (automatic)",25.70,1188.2,No,1188.20,Loyal
7850-VWJUU,Female,0,No,No,23,Yes,No,"Fiber optic",Yes,No,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",75.00,1778.5,No,1778.50,Loyal
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.20,1277.75,No,1277.75,Long-Term
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Mailed check",19.60,1170.55,No,1170.55,Long-Term
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",70.45,70.45,Yes,70.45,New
3146-MSEGF,Female,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",88.05,6425.65,No,6425.65,Long-Term
4080-OGPJL,Female,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,"Electronic check",71.15,563.65,Yes,563.65,New
1095-WGNGG,Female,0,Yes,No,61,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",101.05,5971.25,No,5971.25,Long-Term
2636-SJDOU,Male,0,No,No,64,Yes,Yes,"Fiber optic",Yes,Yes,No,No,No,No,"One year",Yes,"Credit card (automatic)",84.30,5289.05,No,5289.05,Long-Term
1131-QQZEB,Male,1,Yes,No,71,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",23.95,1756.2,No,1756.20,Long-Term
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",99.05,6416.7,No,6416.70,Long-Term
6837-BJYDQ,Male,0,No,No,3,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",19.60,61.35,No,61.35,New
2135-RXIHG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",45.65,45.65,Yes,45.65,New
